soil_ph,soil_moisture,soil_temperature,total_N,fertilizer_type,nh3,log_nh3,log_totalN,Ref
8,28.5,10,149.1,1,9.7,2.272125886,5.004617222,ALFAM21
5.8,23,9.7,161.4,1,9.6,2.261763098,5.083885756,ALFAM21
8,20.2,16.9,164,1,9.5,2.251291799,5.099866428,ALFAM21
5.8,10,12.1,54.8,1,9.5,2.251291799,4.003690194,ALFAM21
8,25.1,17.4,92.3,1,9.5,2.251291799,4.525044142,ALFAM21
7.1,26.6,12.5,130.7,1,9.5,2.251291799,4.872904621,ALFAM21
5.8,10,12.1,127.8,1,9.4,2.240709689,4.850466542,ALFAM21
5.8,23,19.9,109.6,1,9.4,2.240709689,4.696837375,ALFAM21
6.5,28,2.2,124.2,1,9.4,2.240709689,4.821893169,ALFAM21
7.2,20.4,21.6,130.3,1,9.4,2.240709689,4.869839484,ALFAM21
8,25.2,12,136.6,1,9.4,2.240709689,4.917056947,ALFAM21
5.8,23,19.5,174.3,1,9.4,2.240709689,5.160777953,ALFAM21
8,20.2,16.8,89.4,1,9.3,2.2300144,4.493120682,ALFAM21
5.8,23,19.5,174.3,1,9.3,2.2300144,5.160777953,ALFAM21
5.8,10,12.3,157.4,1,9.3,2.2300144,5.058790336,ALFAM21
8.2,100,16.7,108.9,1,9.3,2.2300144,4.69043003,ALFAM21
6.1,23,10.7,157.6,1,9.3,2.2300144,5.060060177,ALFAM21
6.5,28,2.2,124.2,1,9.2,2.219203484,4.821893169,ALFAM21
6.5,23,12.5,140.4,1,9.2,2.219203484,4.944495492,ALFAM21
6.5,28,2.2,124.3,1,9.1,2.208274414,4.822697999,ALFAM21
7.1,28.8,12.1,110.1,1,9.1,2.208274414,4.701389044,ALFAM21
5.8,23,9.8,161.4,1,9.1,2.208274414,5.083885756,ALFAM21
6.8,30,20,69.6,1,9,2.197224577,4.242764567,Häni et al.9
8.2,56.6,5.1,115.1,1,9,2.197224577,4.745801316,ALFAM21
5.6,41,14,160.4,1,9,2.197224577,5.077670695,ALFAM21
