"SpCode","Taxa","Sp_CommonName","Sp_ScientificName","Fam_CommonName","FMP","FMP_BSAI","FMP_GOA","FMP_Arctic","FMP_Salmon","Fam_ScientificName"
"LAMPRYPA","Fish","Pacific lamprey","Entosphenus tridentatus","lampreys",0,0,0,0,0,"Petromyzontidae"
"LAMPRYSE","Fish","Sea lamprey","Petromyzon marinus","lampreys",0,0,0,0,0,"Petromyzontidae"
"LINGCOD","Fish","Lingcod","Ophiodon elongatus","greenlings",0,0,0,0,0,"Hexagrammidae"
"LORDBI","Fish","Brown Irish lord","Hemilepidotus spinosus","sculpins",0,0,0,0,0,"Cottidae"
"LORDRI","Fish","Red Irish lord","Hemilepidotus hemilepidotus","sculpins",0,0,0,0,0,"Cottidae"
"LORDYI","Fish","Yellow Irish lord","Hemilepidotus jordani","sculpins",0,0,0,0,0,"Cottidae"
"LUMPLEAT","Fish","Leatherfin lumpsucker","Eumicrotremus derjugini","lumpsuckers",0,0,0,0,0,"Cyclopteridae"
"LUMPSMO","Fish","Smooth lumpsucker","Aptocyclus ventricosus","lumpsuckers",0,0,0,0,0,"Cyclopteridae"
"LUMPSPI","Fish","Pacific spiny lumpsucker","Eumicrotremus orbis","lumpsuckers",0,0,0,0,0,"Cyclopteridae"
"MACKATK","Fish","Atka mackerel","Pleurogrammus monoptergius","greenlings",0,0,0,0,0,"Hexagrammidae"
"NOFISH","Fish","no fish captured","","",0,0,0,0,0,NA
"none","none","no species caught","","",0,0,0,0,0,NA
"PERCHKE","Fish","Kelp perch","Brachyistius frenatus","surfperches",0,0,0,0,0,"Embiotocidae"
"PERCHSH","Fish","Shiner perch","Cymatogaster aggregata","surfperches",0,0,0,0,0,"Embiotocidae"
"PIPEFISH","Fish","Bay pipefish","Syngnathus leptorhynchus","pipefishes",0,0,0,0,0,"Syngnathidae"
"PLAICEAK","Fish","Alaska plaice","Pleuronectes quadrituberculatus","righteye flounders",1,1,1,0,0,"Pleuronectidae"
"POA4HRN","Fish","Fourhorn poacher","Hypsagonus quadricornis","poachers",0,0,0,0,0,"Agonidae"
"POAATL","Fish","Atlantic poacher","Leptagonus decagonus","poachers",0,0,0,0,0,"Agonidae"
"POABER","Fish","Bering poacher","Occella dodecaedron","poachers",0,0,0,0,0,"Agonidae"
"POAPRICK","Fish","Pricklebreast poacher","Stellerina xyosterna","poachers",0,0,0,0,0,"Agonidae"
"POAPYGMY","Fish","Pygmy poacher","Odontopyxis trispinosa","poachers",0,0,0,0,0,"Agonidae"
"POASAW","Fish","Sawback poacher","Leptagonus frenatus","poachers",0,0,0,0,0,"Agonidae"
"POASPEAR","Fish","Northern spearnose poacher","Agonopsis vulsa","poachers",0,0,0,0,0,"Agonidae"
"POASTUR","Fish","Sturgeon poacher","Podothecus accipenserinus","poachers",0,0,0,0,0,"Agonidae"
"POATUBE","Fish","Tubenose poacher","Pallasina barbata","poachers",0,0,0,0,0,"Agonidae"
"POAVET","Fish","Veteran poacher","Podothecus veternus","poachers",0,0,0,0,0,"Agonidae"
"POAWART","Fish","Warty poacher","Chesnonia verrucosa","poachers",0,0,0,0,0,"Agonidae"
"POLLOCK","Fish","Walleye pollock","Gadus chalcogrammus","cods",1,1,1,0,0,"Gadidae"
"POUTHALF","Fish","Halfbarred pout","Gymnelus hemifasciatus","eelpouts",0,0,0,0,0,"Zoarcidae"
"PRICKBLK","Fish","Black prickleback","Xiphister atropurpureus","pricklebacks",0,0,0,0,0,"Stichaeidae"
"PRICKBLL","Fish","Blackline prickleback","Acantholumpenus mackayi","pricklebacks",0,0,0,0,0,"Stichaeidae"
"PRICKLON","Fish","Longsnout prickleback","Lumpenella longirostris","pricklebacks",0,0,0,0,0,"Stichaeidae"
"PRICKROC","Fish","Rock prickleback","Xiphister mucosus","pricklebacks",0,0,0,0,0,"Stichaeidae"
"PRICKSN","Fish","Snake prickleback","Lumpenus sagitta","pricklebacks",0,0,0,0,0,"Stichaeidae"
"PROWFISH","Fish","Prowfish","Zaprora silenus","prowfishes",0,0,0,0,0,"Zaproridae"
"ROCKBLA","Fish","Black rockfish","Sebastes melanops","rockfishes",0,0,0,0,0,"Scorpaenidae"
"ROCKBRO","Fish","Brown rockfish","Sebastes auriculatus","rockfishes",0,0,0,0,0,"Scorpaenidae"
"ROCKCAN","Fish","Canary rockfish","Sebastes pinniger","rockfishes",1,0,1,0,0,"Scorpaenidae"
"ROCKCHI","Fish","China rockfish","Sebastes nebulosus","rockfishes",1,0,1,0,0,"Scorpaenidae"
"ROCKCOP","Fish","Copper rockfish","Sebastes caurinus","rockfishes",1,0,1,0,0,"Scorpaenidae"
"ROCKDRK","Fish","Dark dusky rockfish","Sebastes ciliatus","rockfishes",1,1,0,0,0,"Scorpaenidae"
"ROCKDUS","Fish","Dusky rockfish","Sebastes variabilis","rockfishes",1,1,1,0,0,"Scorpaenidae"
"ROCKGS","Fish","Greenstripe rockfish","Sebastes elongatus","rockfishes",1,0,1,0,0,"Scorpaenidae"
"ROCKHAR","Fish","Harlequin rockfish","Sebastes variegatus","rockfishes",1,1,1,0,0,"Scorpaenidae"
"ROCKNOR","Fish","Northern rockfish","Sebastes polyspinis","rockfishes",1,1,1,0,0,"Scorpaenidae"
"ROCKPUG","Fish","Puget Sound rockfish","Sebastes emphaeus","rockfishes",1,0,1,0,0,"Scorpaenidae"
"ROCKQUI","Fish","Quillback rockfish","Sebastes maliger","rockfishes",1,0,1,0,0,"Scorpaenidae"
